OBJECTID *,Shape *,ID,Region,County,Type,School.Name,City,Grade.Range,Total.Students,Percent.Immunized,county_norm,school_key,full_address,latitude,longitude,_merge
127,Point,127,Upstate,Greenville,Public,East Link Academy,Greenville,'K5 - 8,252,0.853,greenville,east link academy,"78 Global Drive Drive Suite 200, Greenville, SC 29607",34.807649,-82.34331,both
128,Point,128,Upstate,Greenville,Private,St. Mary's Catholic School,Greenville,'K3-8,271,0.993,greenville,st. mary's catholic school,"101 Hampton Ave, Greenville, SC 29601",34.85358,-82.40234,left_only
129,Point,129,Upstate,Greenville,Public,Westcliffe Elementary,Greenville,'k4-5th grade,302,0.957,greenville,westcliffe elementary,"105 Eastbourne Road, Greenville, SC 29611",34.864407,-82.465986,both
130,Point,130,Upstate,Greenville,Private,Greenville Classical Academy,Greenville,'K4-12th,313,0.728,greenville,greenville classical academy,"2519 WOODRUFF RD, SIMPSONVILLE, SC 29681",34.81014,-82.236991,both
131,Point,131,Upstate,Greenville,Private,Our Lady of the Rosary School,Greenville,'4k - 12,321,0.732,greenville,our lady of the rosary school,"2 James Dr, Greenville, SC 29605",34.799682,-82.379964,left_only
132,Point,132,Upstate,Greenville,Public,LEAD Academy,Greenville,'K5-8th,386,0.909,greenville,lead academy,"804 Mauldin Rd., Greenville, SC 29607",34.784237,-82.353064,both
133,Point,133,Upstate,Greenville,Private,Mitchell Rd Christian Academy,Greenville,'K3-8th Grade,392,0.839,greenville,mitchell rd christian academy,"207 Mitchell Rd, Greenville, SC 29615",34.872202,-82.318425,left_only
134,Point,134,Upstate,Greenville,Public,GREEN Upstate High School Greenville,Simpsonville,'9-12,396,0.919,greenville,green upstate high school greenville,"356 Bridgeway Boulevard, Simpsonville, SC 29681",34.797735,-82.274049,both
135,Point,135,Upstate,Greenville,Public,Brook Glenn Elementary,Taylors,'K4-5th grade,397,0.887,greenville,brook glenn elementary,"2003 East Lee Road, Taylors, SC 29687",34.910786,-82.3103,both
136,Point,136,Upstate,Greenville,Public,Armstrong Elementary,Greenville,'K4-5,407,0.909,greenville,armstrong elementary,"8601 White Horse Road, Greenville, SC 29617",34.904533,-82.463129,both
